feature_name,source_type,feature_family,selected_final_input,pearson_to_pressure,spearman_to_pressure,within_bike_mean_abs_spearman,within_bike_mean_signed_spearman,abs_pearson_to_pressure,abs_spearman_to_pressure,abs_spearman_rank
acc_kurtosis_mean,acceleration_signal,kurtosis,False,0.5660033354410746,0.593951538043144,0.4161698594820548,0.4161698594820548,0.5660033354410746,0.593951538043144,6
acc_max_abs_absdiff,acceleration_signal,max_abs,False,0.5610049230423875,0.5914746759161918,0.36793198940572575,0.36793198940572575,0.5610049230423875,0.5914746759161918,7
acc_skew_mean,acceleration_signal,skew,False,0.5379364825643891,0.5858274302667409,0.39346968532848825,0.39346968532848825,0.5379364825643891,0.5858274302667409,8
acc_spectral_centroid_min,acceleration_signal,spectral_centroid,False,0.5446590656574203,0.5697773636840904,0.46724525132757977,0.46724525132757977,0.5446590656574203,0.5697773636840904,9
acc_p95_abs_max,acceleration_signal,p95_abs,False,0.5820761412304962,0.5580865744448759,0.3357734093548397,0.3357734093548397,0.5820761412304962,0.5580865744448759,10
acc_band_15_30_power_absdiff,acceleration_signal,band_15_30_power,False,0.5201842531480804,0.5577893509896417,0.32631500345752024,0.32631500345752024,0.5201842531480804,0.5577893509896417,11
acc_kurtosis_absdiff,acceleration_signal,kurtosis,False,0.583296578500904,0.5516467329148,0.3537443805597466,0.3537443805597466,0.583296578500904,0.5516467329148,12
acc_ptp_absdiff,acceleration_signal,ptp,False,0.5395283160591068,0.5428291037428501,0.33671924994457153,0.33671924994457153,0.5395283160591068,0.5428291037428501,13
gyro_band_15_30_power_absdiff,gyro_signal,band_15_30_power,False,-0.5005816234523636,-0.5333179531753536,0.28564385809904674,0.28564385809904674,0.5005816234523636,0.5333179531753536,14
acc_band_15_30_power_max,acceleration_signal,band_15_30_power,False,0.5340973641339077,0.5313364634737918,0.6034462962489795,0.6034462962489795,0.5340973641339077,0.5313364634737918,15
gyro_spectral_entropy_absdiff,gyro_signal,spectral_entropy,False,-0.4488327978660847,-0.5224197598167637,0.20903077033075934,0.07472140658882347,0.4488327978660847,0.5224197598167637,16
acc_spectral_entropy_max,acceleration_signal,spectral_entropy,False,0.5111765715972505,0.5220234618764514,0.4757578166351672,0.4757578166351672,0.5111765715972505,0.5220234618764514,17
acc_skew_absdiff,acceleration_signal,skew,False,0.497664138318446,0.5197447487196554,0.27996881456065503,0.15700953789550248,0.497664138318446,0.5197447487196554,18
gyro_kurtosis_min,gyro_signal,kurtosis,False,0.3919785756331223,0.5084502574207532,0.14376776963925528,0.14376776963925528,0.3919785756331223,0.5084502574207532,19
